post,config.env_name,config.algo,ureward_mean,ureward_std,fail/100ep,len_mean
original,MountainCarContinuous-v0,a2c,91.16886061,0.22301418354243235,100.0,90.33
original,MountainCarContinuous-v0,ppo,88.53884663999997,2.3190935829857855,100.0,228.26
original,MountainCarContinuous-v0,ddpg,93.51622572999999,0.047669968955486905,100.0,66.32
original,MountainCarContinuous-v0,td3,93.47186956999998,0.07566017282669309,100.0,66.03
original,MountainCarContinuous-v0,sac,94.66787392,1.3172118355223401,100.0,102.95
original,MountainCarContinuous-v0,tqc,67.28511644999999,43.83924688184349,100.0,811.68
original,LunarLanderContinuous-v2,a2c,61.23423025000001,137.3070816306038,59.0,585.87
original,LunarLanderContinuous-v2,ppo,273.39485382,30.488760972081582,100.0,282.45
original,LunarLanderContinuous-v2,ddpg,216.82851264999996,100.00765663848829,97.0,250.86
original,LunarLanderContinuous-v2,td3,205.43699385,86.71445276757466,98.0,390.18
original,LunarLanderContinuous-v2,sac,259.55353015,67.79496561283864,99.0,225.25
original,LunarLanderContinuous-v2,tqc,279.76000407,28.582767769601755,99.0,212.32
original,BipedalWalker-v3,a2c,296.83983373,26.977991162337386,100.0,714.92
original,BipedalWalker-v3,ppo,220.13058679999997,122.36368126551773,100.0,658.18
original,BipedalWalker-v3,ddpg,216.99951173000002,127.38437047514743,100.0,691.77
original,BipedalWalker-v3,td3,302.67591976999995,65.12452737992396,100.0,664.76
original,BipedalWalker-v3,sac,289.07460765,66.04180055771535,3.0,1078.91
original,BipedalWalker-v3,tqc,326.45738399,58.15448015673124,100.0,585.7
original,BipedalWalkerHardcore-v3,a2c,99.09168405999999,129.27628337705,32.0,1229.59
original,BipedalWalkerHardcore-v3,ppo,137.23801992000003,119.42463930032031,18.0,1430.64
original,BipedalWalkerHardcore-v3,ddpg,N/A,N/A,N/A,N/A
original,BipedalWalkerHardcore-v3,td3,-92.75610939999999,16.313829007209062,0.0,2000.0
original,BipedalWalkerHardcore-v3,sac,16.603007589999997,104.19310012945868,19.0,1661.2
original,BipedalWalkerHardcore-v3,tqc,238.63382496999998,102.03916530465318,30.0,1194.61
postprocess_default,MountainCarContinuous-v0,a2c,92.84809195,0.07462413155747592,100.0,73.7
postprocess_default,MountainCarContinuous-v0,ppo,96.22800757999998,16.984477592954565,100.0,611.77
postprocess_default,MountainCarContinuous-v0,ddpg,94.80552974000003,0.3616471834313,100.0,82.57
postprocess_default,MountainCarContinuous-v0,td3,94.10169559,0.17981307971374558,100.0,67.66
postprocess_default,MountainCarContinuous-v0,sac,95.05214659999997,1.0955455216885779,100.0,121.04
postprocess_default,MountainCarContinuous-v0,tqc,96.12828003,0.9109155803415977,100.0,364.2
postprocess_default,LunarLanderContinuous-v2,a2c,160.38017198,126.10929619023743,95.0,354.47
postprocess_default,LunarLanderContinuous-v2,ppo,275.37175394,32.35194498156627,100.0,276.76
postprocess_default,LunarLanderContinuous-v2,ddpg,249.16757680000003,68.50557416605346,100.0,229.45
postprocess_default,LunarLanderContinuous-v2,td3,257.45709880000004,20.09010558003995,100.0,306.96
postprocess_default,LunarLanderContinuous-v2,sac,283.09854735,18.106300895412122,100.0,213.41
postprocess_default,LunarLanderContinuous-v2,tqc,286.0589421,17.73716456940971,100.0,181.32
postprocess_default,BipedalWalker-v3,a2c,313.68690649,0.6570240337444363,100.0,701.85
postprocess_default,BipedalWalker-v3,ppo,325.89427962,0.7005070249816613,100.0,742.19
postprocess_default,BipedalWalker-v3,ddpg,281.38744112,54.11066135740306,100.0,756.86
postprocess_default,BipedalWalker-v3,td3,334.19505935,0.6163464672349077,100.0,691.9
postprocess_default,BipedalWalker-v3,sac,321.20918763000003,1.0463606189001098,0.0,1132.99
postprocess_default,BipedalWalker-v3,tqc,344.08651159,0.2565594588448526,100.0,676.2
postprocess_default,BipedalWalkerHardcore-v3,a2c,109.5576474,121.01487578671737,19.0,1431.02
postprocess_default,BipedalWalkerHardcore-v3,ppo,137.25439122,119.67760582612136,18.0,1476.59
postprocess_default,BipedalWalkerHardcore-v3,ddpg,N/A,N/A,N/A,N/A
postprocess_default,BipedalWalkerHardcore-v3,td3,-23.875016420000005,5.202808878898411,0.0,2000.0
postprocess_default,BipedalWalkerHardcore-v3,sac,44.32916056,86.35174545690211,5.0,1902.19
postprocess_default,BipedalWalkerHardcore-v3,tqc,242.70118868999998,107.5563978901553,4.0,1266.55
