post,config.env_name,config.algo,ureward_mean,ureward_std,len_mean
original,HalfCheetahBulletEnv-v0,a2c,2109.61392732,36.262196474582026,1000.0
original,HalfCheetahBulletEnv-v0,ppo,2938.8301170000004,53.66415991842647,1000.0
original,HalfCheetahBulletEnv-v0,ddpg,2064.69813911,198.7191887487797,1000.0
original,HalfCheetahBulletEnv-v0,td3,2820.71298196,20.970026883958905,1000.0
original,HalfCheetahBulletEnv-v0,sac,2792.0093641800004,10.87512115880373,1000.0
original,HalfCheetahBulletEnv-v0,tqc,3676.5562241000007,16.665890939713062,1000.0
original,Walker2DBulletEnv-v0,a2c,785.87724245,389.16208241060446,790.94
original,Walker2DBulletEnv-v0,ppo,2108.68547356,16.01072071503276,1000.0
original,Walker2DBulletEnv-v0,ddpg,1432.68671865,720.0502029020759,740.73
original,Walker2DBulletEnv-v0,td3,2218.56023914,194.56622224646387,988.44
original,Walker2DBulletEnv-v0,sac,2290.95089844,34.793662287893405,998.57
original,Walker2DBulletEnv-v0,tqc,2540.82370225,557.5950059530063,953.25
original,HopperBulletEnv-v0,a2c,834.4784445300002,343.3358655330605,600.64
original,HopperBulletEnv-v0,ppo,2523.71020758,383.5363347706928,961.57
original,HopperBulletEnv-v0,ddpg,1179.7603647,453.1066123265755,439.48
original,HopperBulletEnv-v0,td3,2681.82696677,27.22186717258008,997.18
original,HopperBulletEnv-v0,sac,2602.93914814,205.17739841503936,991.51
original,HopperBulletEnv-v0,tqc,2631.8841438599998,329.7411808664341,980.64
original,AntBulletEnv-v0,a2c,2502.96594343,25.36579516269827,1000.0
original,AntBulletEnv-v0,ppo,2869.554218050001,72.72057016201254,1000.0
original,AntBulletEnv-v0,ddpg,2365.4522714299997,212.5143135880535,997.36
original,AntBulletEnv-v0,td3,3268.3387669599992,288.7768032441764,1000.0
original,AntBulletEnv-v0,sac,3096.19129911,31.316292602459516,1000.0
original,AntBulletEnv-v0,tqc,3478.52515813,23.986106797951752,1000.0
original,ReacherBulletEnv-v0,a2c,14.191874549999998,11.334489586023956,150.0
original,ReacherBulletEnv-v0,ppo,15.77623059,11.138048669563736,150.0
original,ReacherBulletEnv-v0,ddpg,16.50720574,8.49752033201604,150.0
original,ReacherBulletEnv-v0,td3,18.603988590000004,9.189785785578716,150.0
original,ReacherBulletEnv-v0,sac,18.83786176,9.19023075178639,150.0
original,ReacherBulletEnv-v0,tqc,17.81572247,8.83031103366047,150.0
postprocess_default,HalfCheetahBulletEnv-v0,a2c,2211.59637957,35.91486326421069,1000.0
postprocess_default,HalfCheetahBulletEnv-v0,ppo,3000.6714998999996,42.32257761810939,1000.0
postprocess_default,HalfCheetahBulletEnv-v0,ddpg,2264.0609356500004,133.08089248899736,1000.0
postprocess_default,HalfCheetahBulletEnv-v0,td3,2928.35099281,15.355643138088896,1000.0
postprocess_default,HalfCheetahBulletEnv-v0,sac,2883.2668255999997,6.886076960158913,1000.0
postprocess_default,HalfCheetahBulletEnv-v0,tqc,3802.5007948400003,11.895421136296907,1000.0
postprocess_default,Walker2DBulletEnv-v0,a2c,913.7542432699998,269.2835881285468,917.57
postprocess_default,Walker2DBulletEnv-v0,ppo,2250.4094810300003,194.09059486328857,988.59
postprocess_default,Walker2DBulletEnv-v0,ddpg,1896.82049636,375.69081860727397,962.25
postprocess_default,Walker2DBulletEnv-v0,td3,2411.96674533,7.536428796049043,999.92
postprocess_default,Walker2DBulletEnv-v0,sac,2413.5614752499996,13.623933079079693,1000.0
postprocess_default,Walker2DBulletEnv-v0,tqc,2812.23136609,8.843729919031503,1000.0
postprocess_default,HopperBulletEnv-v0,a2c,1643.30520468,204.06232008752184,980.96
postprocess_default,HopperBulletEnv-v0,ppo,2633.5831847,91.04389581420483,996.57
postprocess_default,HopperBulletEnv-v0,ddpg,2379.72871287,341.55990254677704,882.21
postprocess_default,HopperBulletEnv-v0,td3,2749.50442801,337.10695941678404,973.05
postprocess_default,HopperBulletEnv-v0,sac,2706.0021725999995,96.74102745019063,992.62
postprocess_default,HopperBulletEnv-v0,tqc,2782.993320599999,20.68519698904954,1000.0
postprocess_default,AntBulletEnv-v0,a2c,2679.7872787,28.431236076445742,1000.0
postprocess_default,AntBulletEnv-v0,ppo,2897.6094605800004,156.98945429149433,995.54
postprocess_default,AntBulletEnv-v0,ddpg,2424.2730440700007,86.66385821766899,1000.0
postprocess_default,AntBulletEnv-v0,td3,3391.0002353800005,24.847309774731,1000.0
postprocess_default,AntBulletEnv-v0,sac,3206.625885009999,17.961606238390047,1000.0
postprocess_default,AntBulletEnv-v0,tqc,3654.9025911400004,21.74940297250723,1000.0
postprocess_default,ReacherBulletEnv-v0,a2c,17.32912162,10.491632524847269,150.0
postprocess_default,ReacherBulletEnv-v0,ppo,15.532768310000002,11.383080609807765,150.0
postprocess_default,ReacherBulletEnv-v0,ddpg,17.52802772,8.970049224555499,150.0
postprocess_default,ReacherBulletEnv-v0,td3,17.581231690000003,9.341685897004924,150.0
postprocess_default,ReacherBulletEnv-v0,sac,19.341042480000002,9.717522504871003,150.0
postprocess_default,ReacherBulletEnv-v0,tqc,18.59931546,9.292569773300619,150.0
