trial_id,mdim_mean,mdim_std,mdim_nan_mean,mdim_nan_std,cdim_mean,cdim_std,cdim_nan_mean,cdim_nan_std,nreward_mean,nreward_std,ureward_mean,ureward_std,post,len_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.ars_iters,config.mdim_trials,config.agent_folder,config.env_name,config.post,config.algo
9763b_00000,0.6507528471676407,0.3827921849262015,0.6507528471676407,0.3827921849262015,4.54224740050322,1.710739978796091,4.54224740050322,1.710739978796091,3.1606542825698853,4.874567889394364,96.16134559999999,148.30632268663123,iden,519.0,11.346410036087036,True,,,1.0,70065baf770747e89c70c89abbb2d973,2021-09-05_20-29-19,1630898959.0,11.346410036087036,13316.0,sguc2,128.111.57.96,11.346410036087036,0.0,1.0,"0_algo=a2c,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,a2c
9763b_00001,0.18217095419176296,0.050509873743583775,0.18217095419176296,0.050509873743583775,4.491344451220547,0.9017984191719406,4.491344451220547,0.9017984191719406,277.63158264160154,23.024233767486578,277.63158890000005,23.024237795783726,iden,283.2,2.6155521869659424,True,,,1.0,2e6a7e5c7dbc481dabf2f3c422bbfe60,2021-09-05_20-29-10,1630898950.0,2.6155521869659424,13314.0,sguc2,128.111.57.96,2.6155521869659424,0.0,1.0,"1_algo=ppo,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,ppo
9763b_00002,0.29778016241715627,0.24798125052152792,0.29778016241715627,0.24798125052152792,4.408848302318945,0.649753202975049,4.408848302318945,0.649753202975049,226.0059326171875,103.46129794445115,226.0059351,103.46129557238476,iden,238.3,1.8272771835327148,True,,,1.0,c920039069df4d4a99b1512f6ed74d31,2021-09-05_20-29-09,1630898949.0,1.8272771835327148,13305.0,sguc2,128.111.57.96,1.8272771835327148,0.0,1.0,"2_algo=sac,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,sac
9763b_00003,0.29024402065375776,0.2420830070574978,0.29024402065375776,0.2420830070574978,5.012161162819586,0.7203001930272158,5.012161162819586,0.7203001930272158,199.05473289489746,99.36534135455221,199.05473949999998,99.36534418192504,iden,295.7,2.9017207622528076,True,,,1.0,9f32a9c998e04c52b12bb86e491623c6,2021-09-05_20-29-13,1630898953.0,2.9017207622528076,13300.0,sguc2,128.111.57.96,2.9017207622528076,0.0,1.0,"3_algo=td3,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,td3
9763b_00004,0.13596448749991494,0.011838188518544093,0.13596448749991494,0.011838188518544093,5.15851477694301,0.9652649573744619,5.15851477694301,0.9652649573744619,280.0943572998047,23.03993002692472,280.0943659,23.03993112636751,iden,193.5,1.3988008499145508,True,,,1.0,af99c882cd02400ba8100a47789db7c4,2021-09-05_20-29-12,1630898952.0,1.3988008499145508,13298.0,sguc2,128.111.57.96,1.3988008499145508,0.0,1.0,"4_algo=tqc,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,tqc
9763b_00005,0.18202811887383574,0.1428719589589779,0.18202811887383574,0.1428719589589779,5.461083287209556,0.47218506497546703,5.461083287209556,0.47218506497546703,247.73100490570067,92.50965616842937,247.7310047,92.5096490697314,iden,310.5,2.714779853820801,True,,,1.0,4e593e0bcf9c4b5097f9c589915a8807,2021-09-05_20-29-16,1630898956.0,2.714779853820801,13296.0,sguc2,128.111.57.96,2.714779853820801,0.0,1.0,"5_algo=ddpg,env_name=LunarLanderContinuous-v2,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,LunarLanderContinuous-v2,,ddpg
9763b_00006,2.417832830823225,0.14732979231213997,2.417832830823225,0.14732979231213997,7.548807405762633,0.918911844864118,7.548807405762633,0.918911844864118,19.406871604919434,0.06388570911797961,301.2951477,0.9918298726193064,iden,723.6,4.818045377731323,True,,,1.0,85dc69365fe740caa69bf06389e4f6ae,2021-09-05_20-29-19,1630898959.0,4.818045377731323,13301.0,sguc2,128.111.57.96,4.818045377731323,0.0,1.0,"6_algo=a2c,env_name=BipedalWalker-v3,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,,a2c
9763b_00007,1.6861583804469373,0.08519600068452313,1.6861583804469373,0.08519600068452313,7.350218754357742,2.2862669619789706,7.350218754357742,2.2862669619789706,15.749519681930542,7.451853858112567,207.95988889999998,98.39580823402449,iden,691.0,4.399801969528198,True,,,1.0,4bf06d58553f4fc9a366a5c77c86dae3,2021-09-05_20-29-21,1630898961.0,4.399801969528198,13302.0,sguc2,128.111.57.96,4.399801969528198,0.0,1.0,"7_algo=ppo,env_name=BipedalWalker-v3,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,,ppo
9763b_00008,1.2085106683819475,0.10521738401219796,1.2085106683819475,0.10521738401219796,14.324072042374391,1.1760126076281672,14.324072042374391,1.1760126076281672,261.43360443115233,116.9398647603141,261.4336088,116.93986837680045,iden,1008.2,6.323519229888916,True,,,1.0,10c1648efa67427281ffa46a8d7c8cc1,2021-09-05_20-29-26,1630898966.0,6.323519229888916,13304.0,sguc2,128.111.57.96,6.323519229888916,0.0,1.0,"8_algo=sac,env_name=BipedalWalker-v3,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,,sac
9763b_00009,1.4001730925409026,0.18200779224005234,1.4001730925409026,0.18200779224005234,13.243782872828614,0.7257651244299466,13.243782872828614,0.7257651244299466,318.193701171875,2.4021696958757346,318.19370510000005,2.4021649204465687,iden,682.9,3.810601234436035,True,,,1.0,fa7b912b65cf4e00aca5a2c43edebd39,2021-09-05_20-29-23,1630898963.0,3.810601234436035,13299.0,sguc2,128.111.57.96,3.810601234436035,0.0,1.0,"9_algo=td3,env_name=BipedalWalker-v3,post=None",200.0,10.0,/home/sgillen/work/policy_refinement/test_agent/box2d_all/,BipedalWalker-v3,,td3
